bo-acc,bo-donor,q-acc,q-donor,q-hatom,dist-dh,dist-ah,HB-type
0.0606,1.0617,-0.162444,0.093539,-0.032878,1.34442705041269,2.15557294720554,weak
0.0509,1.0651,-0.163545,0.097495,-0.032931,1.34538699006721,2.25461300868257,weak
0.0428,1.0679,-0.164538,0.10089,-0.033031,1.34580206216633,2.35419794010507,weak
0.036,1.0702,-0.165367,0.10375,-0.033083,1.34595899355872,2.45404100691765,weak
0.1822,1.1702,-0.194533,-0.158436,0.05505,0.94853915343677,1.7514608457416,strong
0.1508,1.1817,-0.201348,-0.150389,0.064003,0.94541426924781,1.85458572874111,strong
0.1261,1.1918,-0.206383,-0.143528,0.070452,0.94240204339438,1.95759795737772,strong
0.1061,1.2001,-0.210116,-0.137661,0.075643,0.93996486017571,2.06003513834322,strong
0.0894,1.207,-0.212584,-0.132982,0.080202,0.93783308211035,2.16216692024282,strong
0.0753,1.2129,-0.214766,-0.128771,0.08402,0.93595409458667,2.26404590503439,strong
0.063,1.2176,-0.216458,-0.125546,0.087794,0.93448863162478,2.36551136556176,strong
0.0527,1.2214,-0.217861,-0.122763,0.091032,0.93331895618992,2.46668104574571,strong
0.0433,1.2248,-0.219141,-0.120332,0.094054,0.93207847746954,2.56792152219796,strong
0.2096,0.9889,-0.081492,-0.151171,-0.003244,1.01015485900254,1.68984514014294,weak
0.1757,0.9955,-0.091868,-0.149893,0.008703,1.0128459391657,1.78715405859052,weak
0.1486,1.0018,-0.099253,-0.148476,0.01707,1.014666590706,1.88533341012599,weak
0.1266,1.0074,-0.104699,-0.147029,0.023202,1.01589750161901,1.98410249738515,weak
0.1084,1.0123,-0.108982,-0.145618,0.028009,1.01676804562407,2.08323195694301,strong
0.0929,1.0166,-0.112596,-0.144189,0.03197,1.01730545941926,2.18269454146142,strong
0.0797,1.0203,-0.115776,-0.142816,0.035346,1.01758567994247,2.28241431918395,strong
0.0683,1.0236,-0.118619,-0.141516,0.038275,1.01767613675655,2.3823238658353,strong
0.0584,1.0264,-0.121151,-0.140297,0.040814,1.0175978572546,2.48240214354734,strong
0.1571,1.0081,-0.086923,-0.146574,0.008327,1.00392647035922,1.69607352881563,weak
0.1279,1.0128,-0.095121,-0.145995,0.018214,1.00755222130257,1.79244777604302,weak
0.1058,1.0176,-0.100095,-0.145261,0.024767,1.01016575027874,1.88983425058142,weak
0.0879,1.0216,-0.104161,-0.143991,0.029636,1.01198235937603,1.98801763576245,weak
0.0736,1.0253,-0.107182,-0.142786,0.033289,1.01331438872557,2.08668561342865,weak
0.0617,1.0286,-0.109555,-0.141548,0.036146,1.01413729304695,2.18586270672046,weak
0.0517,1.0315,-0.111474,-0.14037,0.03847,1.01463805623475,2.28536194117827,weak
0.043,1.0339,-0.113093,-0.139264,0.040452,1.01489548267781,2.38510451820829,weak
0.0357,1.036,-0.114371,-0.138271,0.042121,1.01498582237519,2.4850141765394,weak
0.2506,0.9155,-0.045678,-0.041883,0.014022,1.02245806629063,1.67754193271153,strong
0.2111,0.9257,-0.062384,-0.040382,0.02608,1.02144047266827,1.77855952466217,strong
0.1758,0.9351,-0.074809,-0.034645,0.03572,1.01996181872807,1.88003818212158,strong
0.1509,0.9426,-0.083752,-0.033392,0.041486,1.01894447640195,1.98105552121586,strong
0.1304,0.9492,-0.090915,-0.032415,0.045772,1.01790077495239,2.08209919516855,strong
0.1131,0.955,-0.09703,-0.031481,0.049086,1.01661705753815,2.18338294318264,strong
0.0985,0.96,-0.102287,-0.030569,0.051865,1.0154776524446,2.28452234649171,strong
0.0863,0.9642,-0.106897,-0.029545,0.05418,1.0144591281854,2.38554087442622,strong
0.0756,0.9679,-0.110951,-0.028798,0.056219,1.01348566746217,2.48651433345476,strong
0.1852,0.9268,-0.115201,0.073403,0.046036,1.01463743242151,1.68536256735376,strong
0.1531,0.9341,-0.126398,0.073673,0.055314,1.01506331277676,1.78493668449915,strong
0.1282,0.9406,-0.134631,0.074365,0.061498,1.01474289931639,1.8852571014427,strong
0.1084,0.9462,-0.140764,0.074968,0.066052,1.01428581893013,1.98571418027291,strong
0.0921,0.951,-0.145668,0.075405,0.069759,1.01393428455688,2.08606571844607,strong
0.0784,0.9551,-0.149916,0.075933,0.072884,1.01351241506104,2.18648758577931,strong
